Date : 2025-06-16 01:04:21
Directory : c:\Users\Kozy\Documents\princecomparison_dom
Total : 122 files,  32575 codes, 321 comments, 1119 blanks, all 34015 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| functions                                                                                                                                        |          7 |      9,139 |         41 |         20 |      9,200 |
| functions (Files)                                                                                                                                |          5 |      9,105 |          0 |          4 |      9,109 |
| functions\src                                                                                                                                    |          2 |         34 |         41 |         16 |         91 |
| how-to-scrape-amazon-prices                                                                                                                      |         12 |      1,657 |         40 |        239 |      1,936 |
| how-to-scrape-amazon-prices (Files)                                                                                                              |          5 |      1,425 |          1 |        157 |      1,583 |
| how-to-scrape-amazon-prices\code_examples                                                                                                        |          1 |         70 |          0 |         16 |         86 |
| how-to-scrape-amazon-prices\src                                                                                                                  |          6 |        162 |         39 |         66 |        267 |
| how-to-scrape-amazon-prices\src\amazon_prices_scraper                                                                                            |          6 |        162 |         39 |         66 |        267 |
| price-comparator                                                                                                                                 |         43 |      2,089 |         83 |        427 |      2,599 |
| price-comparator (Files)                                                                                                                         |          4 |        333 |         26 |         40 |        399 |
| price-comparator\.mvn                                                                                                                            |          1 |          3 |         16 |          1 |         20 |
| price-comparator\.mvn\wrapper                                                                                                                    |          1 |          3 |         16 |          1 |         20 |
| price-comparator\src                                                                                                                             |         38 |      1,753 |         41 |        386 |      2,180 |
| price-comparator\src\main                                                                                                                        |         34 |      1,638 |         37 |        351 |      2,026 |
| price-comparator\src\main\java                                                                                                                   |         33 |      1,632 |         36 |        349 |      2,017 |
| price-comparator\src\main\java\com                                                                                                               |         33 |      1,632 |         36 |        349 |      2,017 |
| price-comparator\src\main\java\com\example                                                                                                       |         31 |      1,585 |         36 |        339 |      1,960 |
| price-comparator\src\main\java\com\example\price_comparator                                                                                      |         31 |      1,585 |         36 |        339 |      1,960 |
| price-comparator\src\main\java\com\example\price_comparator (Files)                                                                              |          1 |         15 |          0 |          5 |         20 |
| price-comparator\src\main\java\com\example\price_comparator\config                                                                               |          5 |        112 |          0 |         25 |        137 |
| price-comparator\src\main\java\com\example\price_comparator\controller                                                                           |          2 |        139 |          5 |         25 |        169 |
| price-comparator\src\main\java\com\example\price_comparator\dto                                                                                  |          6 |        185 |          6 |         52 |        243 |
| price-comparator\src\main\java\com\example\price_comparator\model                                                                                |          4 |        176 |          2 |         53 |        231 |
| price-comparator\src\main\java\com\example\price_comparator\service                                                                              |         12 |        951 |         23 |        177 |      1,151 |
| price-comparator\src\main\java\com\example\price_comparator\utils                                                                                |          1 |          7 |          0 |          2 |          9 |
| price-comparator\src\main\java\com\serpapi                                                                                                       |          2 |         47 |          0 |         10 |         57 |
| price-comparator\src\main\resources                                                                                                              |          1 |          6 |          1 |          2 |          9 |
| price-comparator\src\test                                                                                                                        |          4 |        115 |          4 |         35 |        154 |
| price-comparator\src\test\java                                                                                                                   |          4 |        115 |          4 |         35 |        154 |
| price-comparator\src\test\java\com                                                                                                               |          4 |        115 |          4 |         35 |        154 |
| price-comparator\src\test\java\com\example                                                                                                       |          4 |        115 |          4 |         35 |        154 |
| price-comparator\src\test\java\com\example\price_comparator                                                                                      |          4 |        115 |          4 |         35 |        154 |
| price-comparator\src\test\java\com\example\price_comparator (Files)                                                                              |          1 |         11 |          0 |          5 |         16 |
| price-comparator\src\test\java\com\example\price_comparator\config                                                                               |          1 |         28 |          0 |          6 |         34 |
| price-comparator\src\test\java\com\example\price_comparator\service                                                                              |          2 |         76 |          4 |         24 |        104 |
| public                                                                                                                                           |          1 |          5 |          0 |          0 |          5 |
| src                                                                                                                                              |         31 |      3,829 |         68 |        368 |      4,265 |
| src (Files)                                                                                                                                      |          4 |        120 |          4 |         25 |        149 |
| src\components                                                                                                                                   |         10 |        853 |         27 |        101 |        981 |
| src\context                                                                                                                                      |          4 |        303 |          5 |         50 |        358 |
| src\data                                                                                                                                         |          1 |        575 |          1 |          3 |        579 |
| src\main                                                                                                                                         |          2 |         10 |          0 |          6 |         16 |
| src\main\java                                                                                                                                    |          1 |          9 |          0 |          5 |         14 |
| src\main\java\com                                                                                                                                |          1 |          9 |          0 |          5 |         14 |
| src\main\java\com\example                                                                                                                        |          1 |          9 |          0 |          5 |         14 |
| src\main\java\com\example\price_comparator                                                                                                       |          1 |          9 |          0 |          5 |         14 |
| src\main\resources                                                                                                                               |          1 |          1 |          0 |          1 |          2 |
| src\pages                                                                                                                                        |          8 |      1,921 |         31 |        173 |      2,125 |
| src\test                                                                                                                                         |          1 |          9 |          0 |          5 |         14 |
| src\test\java                                                                                                                                    |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com                                                                                                                                |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com\example                                                                                                                        |          1 |          9 |          0 |          5 |         14 |
| src\test\java\com\example\price_comparator                                                                                                       |          1 |          9 |          0 |          5 |         14 |
| src\types                                                                                                                                        |          1 |         38 |          0 |          5 |         43 |
+--------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+--------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                         | language           | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\Kozy\Documents\princecomparison_dom\.mvn\wrapper\maven-wrapper.properties                                                               | Java Properties    |          3 |         16 |          1 |         20 |
| c:\Users\Kozy\Documents\princecomparison_dom\HELP.md                                                                                             | Markdown           |         21 |          0 |         10 |         31 |
| c:\Users\Kozy\Documents\princecomparison_dom\README.md                                                                                           | Markdown           |          2 |          0 |          3 |          5 |
| c:\Users\Kozy\Documents\princecomparison_dom\database.rules.json                                                                                 | JSON               |         12 |          0 |          1 |         13 |
| c:\Users\Kozy\Documents\princecomparison_dom\dataconnect\connector\connector.yaml                                                                | YAML               |          6 |          0 |          1 |          7 |
| c:\Users\Kozy\Documents\princecomparison_dom\dataconnect\dataconnect.yaml                                                                        | YAML               |         11 |          1 |          1 |         13 |
| c:\Users\Kozy\Documents\princecomparison_dom\eslint.config.js                                                                                    | JavaScript         |         30 |          0 |          3 |         33 |
| c:\Users\Kozy\Documents\princecomparison_dom\findr\.eslintrc.js                                                                                  | JavaScript         |         33 |          0 |          1 |         34 |
| c:\Users\Kozy\Documents\princecomparison_dom\findr\package-lock.json                                                                             | JSON               |      9,048 |          0 |          1 |      9,049 |
| c:\Users\Kozy\Documents\princecomparison_dom\findr\package.json                                                                                  | JSON               |         31 |          0 |          1 |         32 |
| c:\Users\Kozy\Documents\princecomparison_dom\findr\src\index.ts                                                                                  | TypeScript         |          2 |         14 |          4 |         20 |
| c:\Users\Kozy\Documents\princecomparison_dom\findr\tsconfig.dev.json                                                                             | JSON               |          5 |          0 |          1 |          6 |
| c:\Users\Kozy\Documents\princecomparison_dom\findr\tsconfig.json                                                                                 | JSON with Comments |         17 |          0 |          1 |         18 |
| c:\Users\Kozy\Documents\princecomparison_dom\firebase.json                                                                                       | JSON               |         75 |          0 |          1 |         76 |
| c:\Users\Kozy\Documents\princecomparison_dom\firebase.ts                                                                                         | TypeScript         |         17 |          4 |          2 |         23 |
| c:\Users\Kozy\Documents\princecomparison_dom\firestore.indexes.json                                                                              | JSON               |          4 |         22 |          0 |         26 |
| c:\Users\Kozy\Documents\princecomparison_dom\functions\.eslintrc.js                                                                              | JavaScript         |         33 |          0 |          1 |         34 |
| c:\Users\Kozy\Documents\princecomparison_dom\functions\package-lock.json                                                                         | JSON               |      9,018 |          0 |          1 |      9,019 |
| c:\Users\Kozy\Documents\princecomparison_dom\functions\package.json                                                                              | JSON               |         31 |          0 |          1 |         32 |
| c:\Users\Kozy\Documents\princecomparison_dom\functions\src\genkit-sample.ts                                                                      | TypeScript         |         32 |         27 |         12 |         71 |
| c:\Users\Kozy\Documents\princecomparison_dom\functions\src\index.ts                                                                              | TypeScript         |          2 |         14 |          4 |         20 |
| c:\Users\Kozy\Documents\princecomparison_dom\functions\tsconfig.dev.json                                                                         | JSON               |          5 |          0 |          1 |          6 |
| c:\Users\Kozy\Documents\princecomparison_dom\functions\tsconfig.json                                                                             | JSON with Comments |         18 |          0 |          0 |         18 |
| c:\Users\Kozy\Documents\princecomparison_dom\how-to-scrape-amazon-prices\.flake8                                                                 | Ini                |         26 |          0 |          1 |         27 |
| c:\Users\Kozy\Documents\princecomparison_dom\how-to-scrape-amazon-prices\.pre-commit-config.yaml                                                 | YAML               |         70 |          0 |          8 |         78 |
| c:\Users\Kozy\Documents\princecomparison_dom\how-to-scrape-amazon-prices\Makefile                                                                | Makefile           |         12 |          1 |          5 |         18 |
| c:\Users\Kozy\Documents\princecomparison_dom\how-to-scrape-amazon-prices\README.md                                                               | Markdown           |        125 |          0 |         59 |        184 |
| c:\Users\Kozy\Documents\princecomparison_dom\how-to-scrape-amazon-prices\code_examples\example.py                                                | Python             |         70 |          0 |         16 |         86 |
| c:\Users\Kozy\Documents\princecomparison_dom\how-to-scrape-amazon-prices\poetry.lock                                                             | toml               |      1,192 |          0 |         84 |      1,276 |
| c:\Users\Kozy\Documents\princecomparison_dom\how-to-scrape-amazon-prices\src\amazon_prices_scraper\__init__.py                                   | Python             |          0 |          0 |          1 |          1 |
| c:\Users\Kozy\Documents\princecomparison_dom\how-to-scrape-amazon-prices\src\amazon_prices_scraper\__main__.py                                   | Python             |         15 |          3 |         10 |         28 |
| c:\Users\Kozy\Documents\princecomparison_dom\how-to-scrape-amazon-prices\src\amazon_prices_scraper\collector.py                                  | Python             |         31 |         11 |         14 |         56 |
| c:\Users\Kozy\Documents\princecomparison_dom\how-to-scrape-amazon-prices\src\amazon_prices_scraper\exception.py                                  | Python             |          4 |          4 |          5 |         13 |
| c:\Users\Kozy\Documents\princecomparison_dom\how-to-scrape-amazon-prices\src\amazon_prices_scraper\models.py                                     | Python             |          6 |          3 |          4 |         13 |
| c:\Users\Kozy\Documents\princecomparison_dom\how-to-scrape-amazon-prices\src\amazon_prices_scraper\scraper.py                                    | Python             |        106 |         18 |         32 |        156 |
| c:\Users\Kozy\Documents\princecomparison_dom\index.html                                                                                          | HTML               |         18 |          0 |          0 |         18 |
| c:\Users\Kozy\Documents\princecomparison_dom\mvnw.cmd                                                                                            | Batch              |        108 |         26 |         16 |        150 |
| c:\Users\Kozy\Documents\princecomparison_dom\package-lock.json                                                                                   | JSON               |      6,162 |          0 |          1 |      6,163 |
| c:\Users\Kozy\Documents\princecomparison_dom\package.json                                                                                        | JSON               |         41 |          0 |          1 |         42 |
| c:\Users\Kozy\Documents\princecomparison_dom\pom.xml                                                                                             | XML                |         93 |          0 |          5 |         98 |
| c:\Users\Kozy\Documents\princecomparison_dom\postcss.config.js                                                                                   | JavaScript         |          6 |          0 |          1 |          7 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\.mvn\wrapper\maven-wrapper.properties                                              | Java Properties    |          3 |         16 |          1 |         20 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\mvnw.cmd                                                                           | Batch              |        108 |         26 |         16 |        150 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\pom.xml                                                                            | XML                |        141 |          0 |          4 |        145 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\run_scraper_test.bat                                                               | Batch              |         42 |          0 |         10 |         52 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\run_scraping_service_test.bat                                                      | Batch              |         42 |          0 |         10 |         52 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\PriceComparatorApplication.java         | Java               |         15 |          0 |          5 |         20 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\config\AsyncConfig.java                 | Java               |         18 |          0 |          4 |         22 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\config\FirebaseConfig.java              | Java               |         41 |          0 |         10 |         51 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\config\SecurityConfig.java              | Java               |         19 |          0 |          3 |         22 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\config\WebConfig.java                   | Java               |         15 |          0 |          4 |         19 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\config\WebSocketConfig.java             | Java               |         19 |          0 |          4 |         23 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\controller\AuthController.java          | Java               |         40 |          0 |          8 |         48 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\controller\ProductController.java       | Java               |         99 |          5 |         17 |        121 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\dto\AliexpressMatch.java                | Java               |         37 |          1 |         11 |         49 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\dto\AmazonProduct.java                  | Java               |         21 |          1 |          7 |         29 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\dto\ComparisonResponse.java             | Java               |         10 |          0 |          2 |         12 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\dto\ComparisonResult.java               | Java               |         58 |          3 |         17 |         78 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\dto\PriceComparison.java                | Java               |         45 |          1 |         13 |         59 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\dto\ShoppingProduct.java                | Java               |         14 |          0 |          2 |         16 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\model\ProductDocument.java              | Java               |        137 |          2 |         41 |        180 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\model\RetailerInfo.java                 | Java               |         19 |          0 |          5 |         24 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\model\SpecificationInfo.java            | Java               |         11 |          0 |          4 |         15 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\model\User.java                         | Java               |          9 |          0 |          3 |         12 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\service\AmazonApiService.java           | Java               |        219 |          2 |         36 |        257 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\service\AuthService.java                | Java               |         34 |          5 |         10 |         49 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\service\DataInitializationService.java  | Java               |         48 |          1 |         13 |         62 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\service\ExchangeRateService.java        | Java               |          9 |          2 |          4 |         15 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\service\FirebaseService.java            | Java               |        141 |          1 |         21 |        163 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\service\ImageHashingService.java        | Java               |         14 |          6 |          4 |         24 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\service\OxylabsShoppingScraper.java     | Java               |        182 |          4 |         30 |        216 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\service\PriceApiService.java            | Java               |         23 |          0 |          7 |         30 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\service\ProductService.java             | Java               |        187 |          2 |         25 |        214 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\service\RetailerApiService.java         | Java               |          8 |          0 |          4 |         12 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\service\ScheduledTasksService.java      | Java               |         57 |          0 |         15 |         72 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\service\ShoppingService.java            | Java               |         29 |          0 |          8 |         37 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\example\price_comparator\utils\JsonUtils.java                    | Java               |          7 |          0 |          2 |          9 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\serpapi\GoogleSearch.java                                        | Java               |         38 |          0 |          7 |         45 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\java\com\serpapi\SerpApiSearchException.java                              | Java               |          9 |          0 |          3 |         12 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\main\resources\application.properties                                          | Java Properties    |          6 |          1 |          2 |          9 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\test\java\com\example\price_comparator\PriceComparatorApplicationTests.java    | Java               |         11 |          0 |          5 |         16 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\test\java\com\example\price_comparator\config\TestFirebaseConfig.java          | Java               |         28 |          0 |          6 |         34 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\test\java\com\example\price_comparator\service\AmazonApiServiceTest.java       | Java               |         20 |          3 |          7 |         30 |
| c:\Users\Kozy\Documents\princecomparison_dom\price-comparator\src\test\java\com\example\price_comparator\service\OxylabsShoppingScraperTest.java | Java               |         56 |          1 |         17 |         74 |
| c:\Users\Kozy\Documents\princecomparison_dom\public\favicon.svg                                                                                  | XML                |          5 |          0 |          0 |          5 |
| c:\Users\Kozy\Documents\princecomparison_dom\remoteconfig.template.json                                                                          | JSON               |          1 |          0 |          0 |          1 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\App.tsx                                                                                         | TypeScript JSX     |         30 |          2 |          4 |         36 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\components\AlertCard.tsx                                                                        | TypeScript JSX     |         72 |          3 |         13 |         88 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\components\AlertForm.tsx                                                                        | TypeScript JSX     |        139 |          4 |         16 |        159 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\components\Footer.tsx                                                                           | TypeScript JSX     |         63 |          0 |          5 |         68 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\components\Header.tsx                                                                           | TypeScript JSX     |        151 |          7 |         16 |        174 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\components\Layout.tsx                                                                           | TypeScript JSX     |         21 |          1 |          4 |         26 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\components\PriceComparisonTable.tsx                                                             | TypeScript JSX     |        139 |          3 |         15 |        157 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\components\ProductCard.tsx                                                                      | TypeScript JSX     |        127 |          4 |         13 |        144 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\components\ProtectedRoute.tsx                                                                   | TypeScript JSX     |         11 |          1 |          4 |         16 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\components\SearchBar.tsx                                                                        | TypeScript JSX     |        115 |          4 |         12 |        131 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\components\ThemeToggle.tsx                                                                      | TypeScript JSX     |         15 |          0 |          3 |         18 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\context\AlertContext.tsx                                                                        | TypeScript JSX     |         72 |          2 |         14 |         88 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\context\AuthContext.tsx                                                                         | TypeScript JSX     |        119 |          3 |         15 |        137 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\context\ProductContext.tsx                                                                      | TypeScript JSX     |         70 |          0 |         12 |         82 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\context\ThemeContext.tsx                                                                        | TypeScript JSX     |         42 |          0 |          9 |         51 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\data\mockData.ts                                                                                | TypeScript         |        575 |          1 |          3 |        579 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\index.css                                                                                       | PostCSS            |         66 |          1 |         19 |         86 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\main.tsx                                                                                        | TypeScript JSX     |         24 |          0 |          1 |         25 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\main\java\com\example\price_comparator\PriceComparatorApplication.java                          | Java               |          9 |          0 |          5 |         14 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\main\resources\application.properties                                                           | Java Properties    |          1 |          0 |          1 |          2 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\pages\AlertsPage.tsx                                                                            | TypeScript JSX     |        126 |          2 |         12 |        140 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\pages\HomePage.tsx                                                                              | TypeScript JSX     |        296 |          8 |         23 |        327 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\pages\LoginPage.tsx                                                                             | TypeScript JSX     |        153 |          2 |         14 |        169 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\pages\NotFoundPage.tsx                                                                          | TypeScript JSX     |         26 |          0 |          2 |         28 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\pages\ProductPage.tsx                                                                           | TypeScript JSX     |        389 |          8 |         31 |        428 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\pages\ProfilePage.tsx                                                                           | TypeScript JSX     |        425 |          8 |         33 |        466 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\pages\RegisterPage.tsx                                                                          | TypeScript JSX     |        202 |          2 |         19 |        223 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\pages\SearchResultsPage.tsx                                                                     | TypeScript JSX     |        304 |          1 |         39 |        344 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\test\java\com\example\price_comparator\PriceComparatorApplicationTests.java                     | Java               |          9 |          0 |          5 |         14 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\types\index.ts                                                                                  | TypeScript         |         38 |          0 |          5 |         43 |
| c:\Users\Kozy\Documents\princecomparison_dom\src\vite-env.d.ts                                                                                   | TypeScript         |          0 |          1 |          1 |          2 |
| c:\Users\Kozy\Documents\princecomparison_dom\tailwind.config.js                                                                                  | JavaScript         |         46 |          1 |          0 |         47 |
| c:\Users\Kozy\Documents\princecomparison_dom\tsconfig.app.json                                                                                   | JSON               |         20 |          2 |          3 |         25 |
| c:\Users\Kozy\Documents\princecomparison_dom\tsconfig.json                                                                                       | JSON with Comments |          7 |          0 |          1 |          8 |
| c:\Users\Kozy\Documents\princecomparison_dom\tsconfig.node.json                                                                                  | JSON               |         18 |          2 |          3 |         23 |
| c:\Users\Kozy\Documents\princecomparison_dom\vite.config.ts                                                                                      | TypeScript         |         19 |          1 |          2 |         22 |
| Total                                                                                                                                            |                    |     32,575 |        321 |      1,119 |     34,015 |
+--------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
